Name,URL,Picture_URL,Components,Name
"CLKComplicationTemplateGraphicExtraLargeCircularOpenGaugeView","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplategraphicextralargecircularopengaugeview","https://docs-assets.developer.apple.com/published/7d67344b07/rendered2x-1595976655.png","CLKTextProviderCLKGauageProviderView","graphicExtraLarge"
"CLKComplicationTemplateGraphicExtraLargeCircularOpenGaugeSimpleText","","","","graphicExtraLarge"
"CLKComplicationTemplateGraphicExtraLargeCircularOpenGaugeRangeText","","","","graphicExtraLarge"
"CLKComplicationTemplateGraphicExtraLargeCircularClosedGaugeImage","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplategraphicextralargecircularclosedgaugeimage","https://docs-assets.developer.apple.com/published/66cba31f1e/rendered2x-1595964051.png","CLKImageProviderCLKGauageProvider","graphicExtraLarge"
"CLKComplicationTemplateGraphicExtraLargeCircularClosedGaugeView","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplategraphicextralargecircularclosedgaugeview","https://docs-assets.developer.apple.com/published/ee8d089729/rendered2x-1595966144.png","ViewCLKGauageProvider","graphicExtraLarge"
"CLKComplicationTemplateGraphicExtraLargeCircularClosedGaugeText","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplategraphicextralargecircularclosedgaugetext","https://docs-assets.developer.apple.com/published/60a8e86463/rendered2x-1595964051.png","CLKTextProviderCLKGauageProvider","graphicExtraLarge"
"CLKComplicationTemplateGraphicRectangularStandardBody","","","","graphicRectangular"
"CLKComplicationTemplateGraphicRectangularStandardBodyView","","","","graphicRectangular"
"CLKComplicationTemplateGraphicRectangularTextGauge","","","","graphicRectangular"
"CLKComplicationTemplateGraphicRectangularTextGaugeView","","","","graphicRectangular"
"CLKComplicationTemplateGraphicRectangularLargeImage","","","","graphicRectangular"
"CLKComplicationTemplateGraphicRectangularLargeView","","","","graphicRectangular"
"CLKComplicationTemplateGraphicRectangularFullImage","","","","graphicRectangular"
"CLKComplicationTemplateGraphicRectangularFullView","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplategraphicrectangularfullview","https://docs-assets.developer.apple.com/published/66b570f648/rendered2x-1595972728.png","","graphicRectangular"
"CLKComplicationTemplateGraphicCircularImage","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplategraphiccircularimage","https://docs-assets.developer.apple.com/published/a8b88afaeb/94621971-128e-4fb0-b616-411058ccdca7.png","CLKImageProvider","graphicCircular"
"CLKComplicationTemplateGraphicCircularStackImage","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplategraphiccircularstackimage","https://docs-assets.developer.apple.com/published/3d24cd8e40/c170978e-95a7-42e5-99b8-97834cff2717.png","CLKImageProviderCLKTextProvider","graphicCircular"
"CLKComplicationTemplateGraphicCircularStackText","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplategraphiccircularstacktext","https://docs-assets.developer.apple.com/published/2686b03502/3c3936bb-8c7b-4f00-b82e-ed7cecc1a0ff.png","CLKTextProvider","graphicCircular"
"CLKComplicationTemplateGraphicCircularOpenGaugeView","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplategraphiccircularopengaugeview","https://docs-assets.developer.apple.com/published/9e37329cbf/rendered2x-1595965355.png","CLKTextProviderViewCLKGauageProvider","graphicCircular"
"CLKComplicationTemplateGraphicCircularClosedGaugeImage","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplategraphiccircularclosedgaugeimage","https://docs-assets.developer.apple.com/published/c5e0ad129b/5818d3d9-a90d-4e22-b6db-737c23eaa700.png","CLKImageProviderCLKGauageProvider","graphicCircular"
"CLKComplicationTemplateGraphicCircularClosedGaugeView","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplategraphiccircularclosedgaugeview","","",
"CLKComplicationTemplateGraphicCircularClosedGaugeText","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplategraphiccircularclosedgaugetext","","",
